message,emotion
"In 2013, Brandon was diagnosed with melanoma on his back. After a successful surgery, the cancer was removed and he was healthy and cancer free. On December  9th of 2022, he had Really high blood pressure and blood sugar so went in to the E.R. They did some CAT scans and MRI and found that he now has many lesions on his brain and two tumors as well as  two masses on his lungs. When the biopsy came back we were told that the cancer had returned. He was officially diagnosed with Brain metastasis Melanoma. Losing all mobility of his right arm due to one of the tumors in his brain. This diagnosis came as a complete surprise, as Brandon has just turned 46 years old. Our goal is to raise enough money that Brandon can focus all of his energy on healing and beating this monster. For those that do not know Brandon personally, he is a man that would give the shirt off his back to someone in need with no questions asked. He has a son name Tyler who is 21. Brandon likes to spend his time riding his UTVs with his fiancÃ© lizeth and son as well as all his friends and family. He also really enjoys playing softball and just won a championship a week before diagnosis along side his son. Brandon also has a passion for low riding. Anything can help thank you so much",surprise
"Logan is 4 years old and was diagnosed with B-cell Acute Lymphoblastic Leukemia on November 30th, 2022. Logan has Down Syndrome, which makes the treatment more intense due to being immunocompromised. Currently, Logan and his family are going through a 28-day treatment in Oakland, CA. Right now, he is on chemotherapy and preventative medication (e.g., antibiotics for infection and antifungal for bacteria). After the first round of treatment, the family will be able to go home for about a week before the next one. The estimated treatment longevity is 2-2.5 years.
Logan is the happiest little guy. He loves playing with his two older siblings and going to school. In his hospital room, he loves playing with his farmhouse and toys in the windowsill, looking over the bay! He enjoys listening to music and watching movies too. Please donate and share to help him and his family through this difficult season!",joy
"This has been a tough week for my little guy Baylor. On Monday, November 7th, Baylor was admitted to the emergency room and had to have immediate back surgery. He was no longer walking on his back legs and had a severely herniated disc. The surgery lasted two hours, and the recovery will be long, but with a lot of PT and love, he will hopefully regain full function in his legs. The costs that have come with this are beyond what I could have imagined. I am having difficulty just getting my head around it. It is hard for me to do this, but Baylor and I need some help. During covid and the lockdown, he was a constant companion, and I could not imagine ever being without him. He's my little buddy, and I love him so much. I cannot tell you how much I appreciate anything you can help us with. With love, Baylor and Kathleen",love
"Join me, Ryan Solis, in helping raise money for Valerie Rodriguez, a wife and mom of 3 beautiful children, who is fighting stage 4 ovarian cancer. Valerie was diagnosed in April 2022. What's crazy is that her husband Abel had just been declared cancer free in December 2021 after his own grueling battle with stage 4 cancer. Their children were overjoyed when Daddy received the good news and equally devastated when Mommy received her diagnosis. But the Rodriguez family is resilient and has already beat cancer once and is ready to beat it again.

Fighting cancer requires many resources, and with an upcoming surgery, Valerie and her family need help with medical bills and living expenses. Valerie had to quit her job once she was diagnosed, which created a financial strain on the family. The strain is not only brought about by costly hospital stays and medical procedures. I was shocked to learn how expensive all the miscellaneous items are that she purchases to alleviate the suffering she endures post-chemo.

Let's help Valerie and her family. No amount is too small. Anything that can be spared will be much appreciated and will help alleviate the financial strain on the family. Fighting stage 4 cancer is hard enough; having to fight cancer while also worrying about paying bills makes the fight even more challenging. I ask that you contribute anything you can to help Valerie and her family through this tough time.",surprise
"Losing a child is never easy but losing a child you didnât even know you were carrying has to be in a whole different ballpark. My best friend, Lyn, carried her sweet baby boy to term, not knowing she was pregnant.

The week of November 14th, Lyn was sick, throwing up for days, and was unable to go to work. She thought she was sick with the flu. On November 17th, she started having (what she thought was) muscle spasms in her back but she was unknowingly experiencing back labor. Around 6:30 that evening, Alexander Dale would make his shocking entrance into the world. Lyn gave birth to him standing up in her bedroom and he wasnât breathing. Luckily, her mother was home visiting and was able to call 911 and perform CPR on Alexander but, sadly, he was already gone.

Please consider donating to help Lyn & DJ through this tough time, as they mourn the loss of their sweet baby boy. This will help Lyn financially while she recovers and until she is cleared to go back to work, and to also help with hospital bills, etc.",sadness
"Hey, you wouldn't be here reading this if I wasnt in a really tough spot. On November 14th, I got home from work and began to develop a headache. It carried through the week with dizziness and a groggy feeling. Went to the doctor on Thursday, tried to go back to work on Friday and ended up I'm the ER struggling to stand up and having trouble breathing with the pain worsening in my head.
I've had several appointments since then trying different medications that have had some pretty gnarly side effects. All of this has caused me to miss the last two weeks of work unpaid and the next one also unpaid atleast. I have no other source of income, I'm trying to keep up selling stuff and it's not working. Please, I could use some support and I absolutely hate to ask but I can't keep up until I get more answers on my health. Thank you for reading.",anger
Hi my name is Christopher. I have bad unknown medical issues. I have no safe foods I can eat. Everything me sick and rashy or itch throat issues etc. no answers from docs and medical/ other bills are adding up. Canât work as canât eat much or sometimes at all. down to almost 80 pounds. I turned 30 I had 4 food allergies in few months over 30 . Now nothing is safe with no answers at age 34. I live life of night terrors. Panic attacks and worries. Body is fighting itself and everything else but infections (dealing thrush months body fights the meds too). Latest one cromolyn helped till reactions started. I have been fighting with docs on feeding tube/ hypoallergenic formula like what egid patients might go on but they wonât do it.,fear
"Hey hi hello.

I'll keep it short and sweet.

Jason took a spill that could have easily claimed his life. Instead he's left with the pain of multiple impacted teeth as well as fractures in his jaw line thay requires immidiate surgery. He has truly been given a second chance.

For anyone's who's been fortunate enough to cross paths with JayBae (Jason) you'll know that he is the epitome of happiness and unconditional joy. There is not a day thats gone by his enthusiasm for life hasnt uplifted another and brought light into this world. We've all dealt with unfortunate situations of our own doing. However I truly believe its how we handle the lesson and grow that's most important.

Jason, if I could take all your pain and make it my own you know I would.

With YOUR help you will be supporting our dear friend through Crested Butte's off season and beyond. With the accumulation of Medical bills paired with the high cost of living in the valley our boy will need a hand... Reach out and offer that knowing the favor will forever be a blessing to our dearest Jason.

I sit here now awaiting for him to make his way out of surgery with open arms.",joy
"  Hi all,
I wanted to do an update on this page.
First, Keith is still recovering and has good days and bad days, but his recovery timeline is still what the doctor's said it would be, so he is progressing, it will just take time to get back to 100%.
He is now wanting to start working part time and so needs his car, which as many of you know is not exactly reliable. He needs a new radiator, alternator, starter brakes, tires and some electrical and they are looking at around $4k - $5k to get it ready and safe to drive again. It won't even start right now, so we had to tow it to the shop. UGGGGG!!!
He can't get financing for another car without a job and can't get a job without a car, so he is stuck right now until we get his car fixed and he is feeling pretty depressed about how he can get his life back with no car and no job, so I thought since everyone was so incredibley helpful with his medical recovery bills and expenses, I would ask again for help. I hate asking again, but can't think of another option right now.
Every single dollar helps and if you can share this with anyone that knows him, it would be great!
       ",anger
"As most of you are aware, Kyle was involved in very serious car accident on Saturday, October 5th and sustained some very serious injuries. While Kyle is expected to recover, it is going to be a very long and very costly road for Kyle and his family. Kyle's friends and colleagues are putting together this fundraiser to help offset the astronomical costs associated with Kyle's physical recovery and we would ask that you help in any way that you can. For the sake of his privacy and the privacy of the Sherman family, Kyle asks that you do not share this on social media and that this remains as private as possible. Thank you for your time and thank you in advance for your generosity.",gratitude
As most of you know kush is our family dog. He is Four years old he is the love of our lives heâs like my child. I am devastated to announce that he was hit by a UPS truck yesterday afternoon and we are going to be facing big medical bills for him heâs bleeding internally and needs a surgery every little bit counts and helps I know itâs a lot due to the holidays and everything that is going on in the world but losing him is devastating to our family. Our heart are broken knowing I am not in financial place to pay for his immediate medical needs.,anger
"Let me first start by saying thank you. If you are reading this, you are friends, family or acquaintances with Dusty or Michaela, or maybe friends of either Austin or Noah. But they appreciate you and your generosity and thoughtfulness.

Right before Thanksgiving, Dusty was told he had cancer of the pancreas. They immediately began planning to go to Mayo in Rochester, MN. Tests were run, and several appointments later, they were sent home for Dusty to start chemo. They are scheduled to return to Mayo at the end of January to recheck the pancreas, at that point will discuss surgery which will need to occur soon.

Thank you again for helping out this great couple.",gratitude
"Hi to All- I am writing this story on behalf of my best friend, Brandy, and her son, Elijah.  Many of you know that Elijah was diagnosed very recently with AML, a very aggressive form of leukemia.  He has finished his first 10 days of intensive chemotherapy treatments, and now we all wait for upcoming blood test results over the next few weeks, to see where he stands in this fight.  

Elijah is an amazing 14 year old!  Kind, soft spoken, a double black belt in Tae Kwon Do, a saxophone player, precious soul with animals and all of his humans.  Loves a good laugh, legos, his video games, and loves the beach!

His momma is taking time off work, unpaid, to be by his bedside.  As we all can imagine, this is hard enough without the worry about how any extra or surprise medical bills get paid, how regular bills get paid, how a small Starbucks treat gets obtained, which Elijah loves!  If you find it in your heart to bless them with anything, now is the time, and no amount will go unnoticed or without gracious thanks.  

We are ELIJAH STRONG!

He is in the fight of his life, letâs make the burden a little easier for them, if you are able.  ",love
"(Our initial campaign on GoFundMe had some issues with money going to the wrong charity, while we work with them on getting the money sent to the Alzheimer's Association we've created a new campaign. We'd like to thank everyone for the donations as we have already raised $625 + whatever we raise with this campaign!)

Jacob and Jake have been doing this Christmas card for a few years, the first one came as a fun joke for the rest of their coworkers and has continued since then!

They've also expanded their audience for the Christmas card to their friends and family. Jacob and Jake really enjoy the holiday season and trying to make those around them laugh. More importantly, they like to make themselves laugh which is really the driver for the card.

They've also decided to capitalize on the holiday spirit by trying to raise money for Alzheimer's Association. 

Merry Christmas!
Jake Squared",joy
"Hi my name is Martha and recently we found out our beloved family dog, Diamond is really sick. She has diabetes, pancreatitis, and Cushing disease. We were told she needs to be hospitalized for some days if not we have to euthanize her. The hospitalization would be around $8,200 and we simply cannot afford it but we donât want to give up on her. This is very urgent as we were told she has less than a week to live. We love her very deeply and cannot give up so easily. She is my dadâs best friend and we donât want to lose her. Please help us save our baby Diamond.",anger
"On January 5, 2023, Monique Wallen lost her fight against cancer. Monique and my brother Eric were married for 20 years and they have three exceptional children. She was a mom, our sister, our daughter, and our beloved friend that lived every single minute of the 47 years she had on this earth to the absolute fullest.
In 2019, Monique was diagnosed with breast cancer. She fought and won with style.
In 2020 it came back and for the first time, Monique was scared by this disease.
Then in November 2022 and in just weeks, it claimed our Monique.
Through it all, Monique's larger-than-life personality continued to fill every room with joyful chaos.
There are many obvious impacts of the disease, but direct and indirect financial detriment can be shadowed. In lieu of flowers or memorials, the family is in need of support to pay for extensive medical, hospice and end-of-life expenses.
All additional proceeds will go towards the childrenâs education (Ian, 17, Mykaela, 16, & Isaac,12) and help to offset the cost of any financial burden.",fear
"Hello my name is Teresa Henson. My husband Danny Henson was diagnosed with liver cancer Thanksgiving November 25th 2021. He has been getting chemo treatment every month since. On December 6th he was approved for liver transplant but he has no insurance. We have applied for his disability and disability insurance, but they say they have 289 days to make a decision. Therefore, they consider him self-pay. For his first consultation they require money up front, which we are in no shape to pay. Weâre doing everything we can to keep our house and pay our main bills. The first office visit is 475.00 plus 1500 up to 7000 dollars with all the exams blood work etc. Then it is $475.00 ever visit after that. Any help from anyone would be graciously appreciated. Thank you all in advance for your help.",gratitude
"UPDATE:: Surgery went well, ended up having a triple bypass. He is still in the ICU. Trying to manage his pain at this point and if so, will be moved out of ICU today, to a step down unit and will continue to be there until possibly Monday! Please continue to send prayers!




Hey everyone as everyone know I had a heart attack on the 15th an out of work my company don't offer insurance so everything is out of pocket an can't even get short term disability because of no insurance trying to see if there is places to help with these medical bills an other things I hate asking for help but I don't even get paided for being out I not asking for alot I will always give back when I am able to get back to work it make me sick to my stomach for asking but I need it right now love everyone an appreciate everything that yall do an my wife is working her bottom off to help me too ..... update when back last Tuesday an now they said I have to have open heart surgery please keep me in your prayers ",anger
"Abigail is once again having surgery. Hopefully this will be her last one for quite a long time. She is having some trouble with her ostomy due to low colon motility so her doctors want her to try an appendicostomy which is also known as a mace or malone procedure. She's going to have several procedures prior to surgery to determine exactly how her motility is and what kind of results we can expect with her surgery.
Unfortunately the cost of travel has become very high. We need to rent a vehicle because our vehicle is not reliable and cover gas and food costs. We will be out of state for two weeks. I am very grateful to those of you who've donated before and anyone who'd like to help us now. We are also asking for thoughts and prayers for our little girl so that hopefully she can get a good result for a really good quality of life.
My family is so grateful for our family and friends who care about our Abby",optimism
"Hi everyone - If you know me - you know that I have never backed down from a fight -- but this is going to be the fight of my life... On September 13, I was diagnosed with an aggressive form of Esophageal Cancer. Also, if you know me - I NEVER ask for help - but today is a first -- the medical bills are already adding up (chemo, radiation, surgeries and a feeding tube already done or expected). I just left my first radiation session - where I was informed I needed to pay $6500 upfront..... I hate to beg - I hate to ask -- Hell - I hate to admit I can't do it on my own - but again - here we are... Any little bit would help, I know everyone has their own things going on (being an adult SUCKS) so no hard feelings either way - your thoughts & prayers are just as important.

Thanks for taking the time to look -- We love you all

Bobby & Trina",anger
"Hi Iâm Megan and Iâm fundraising to raise $3500 to try a six pack of an infusion that I have received in the ER and has helped tremendously. Unfortunately my insurance doesnât cover it.. Iâm hoping if anyone is willing to help me out that would be incredible! Iâm always the fundraiser for other so this is totally out of my league to ask for help myself.

Itâs worked amazingly well the first time times and could really love to try move of them to see if it will indeed help me out a lot and get my insurance to over it. Any donation makes a different. I truly appreciate it!",optimism
"Many of you know that my husband, Neal Estey, had emergency eye surgery on Mon. Last Friday, he went to an eye appt near us, and they told him he needed emergency surgery on Mon in a city 8 hours away from home. We made the trip, and he had the surgery. It was costly, and we do not have the funds to cover the full cost. With the help of some generous folks, much of it was paid for; however, there is still a balance. Unfortunately, there will also be more procedures in the future, all of which come at heavy costs. I ask that you please support us in getting him the treatment he desperately needs. We hope for his sight to soon be restored, but only time will tell. The current goal is $3,000, which will cover the balance and some future appointments.",optimism
"Hello old friends and new friends; my name is Pam. I live in San Antonio, Texas. I have worked in this community as a registered nurse in LTC for the last 20 years. With much sadness, I have to tell you that I have Stage 4 metastatic breast cancer. I have battled it privately for as long as I can. Right now, I am doing six rounds of chemo as the breast cancer has mutated and requires additional treatment. The treatment is kicking my butt. The previous treatment has left me with my fingernails and toenails falling off and my teeth falling out. I have had several rounds of chemo and radiation over the past several years. The pain is unbearable. Due to the debilitating nature of this illness, I cannot work. I need financial assistance with the cost of the medication and medical bills. I need help with living expenses and everything associated with this horrible disease. I can no longer stay in my house and need to move in two weeks. Any donation toward my journey to wellness would be greatly appreciated.",sadness
"Hi, I'm Mylie Logan and I'm creating this fundraiser for my dear cousin Liza, who was diagnosed with a brain tumor last December.  I attached a message from her kids.

Hello everyone, we would like to thank you for the overwhelming help and support you have extended to our family. My mama's operation last January 23, 2023 was successful. Thank you for the prayers and donations. Our family needs to pay the full amount of hospital bills before she can be discharged from the hospital on or before January 27. The cost of operation and after-care is approximately 400k and so far, we've raised 60-70%. Then again, we ask for your help to complete the fund needed. Any amount you can give would be a real blessing. You may send your financial aid through the following: 

Hans Christian E. Peralta 
BDO: 004960210101 
GCASH: 09217426844 

Mighty Jann E. Peralta 
GCASH: 09691857067 

 Thank you so much â¤


Ate Liza is my first cousin on my dad's side with 2 kids. Her life wasn't easy but I've known her to be a fighter, and I know whatever challenges come in life, she'll make it through with the help and support of people who Love her.

Thank you so much and God Bless.",gratitude
"For those of you who may not know, Sara Aguillard was diagnosed with stage 2 Hodgkins Lymphoma cancer early December of 2022. Sara will undergo her first round of chemotherapy on January 25th, 2023. The treatment will last for 6 months to start and then from there they will be able to evaluate next steps.

Obviously the news of this came as quite the shock and has turned her life upside down. However, if you know Sara, you know she is still laughing and smiling through these tough times. 

There is a huge expense that comes with this kind of treatment and recovery. The goal is to help give relief to the Aguillard family any chance we can. By raising this money, I know we can help make this extremely tough situation a little bit easier for Sara and her family. Thank you all so much! ",gratitude
"Hi my name is Steem, I'm sixteen years old and my dad has prostate cancer. He was diagnosed about a year ago. On Thursday we found out that it has spread to his spine and legs, he is having difficulty walking and we would like to get him a walker. As well a chair for the shower, he's falling over frequently and we're scared he'll get seriously hurt. We also are looking at possibly getting him a hospital type bed. He is currently on welfare and we are trying to get him on a disability but, the red tape is taking forever. He has no one to help him as myself and my two brothers are all minors and he doesn't have any other family. Myself being the oldest, please consider helping us. Thank you for taking the time to read this.",fear
"Unfortunately, we had an event that happened yesterday that put one of our fur babies in emergency surgery to repair severe ear damage. The abrupt emergency happened during a struggling time. The vet has given us until Monday at closing time to get her bill of $474 paid. Anything that would help us to get this situation taken care of would be greatly appreciated as well as blessed.

I hate asking for help but I have honestly have no other resources at this time. I have tried applying for CareCredit and got denied. I will gladly update this with her paid off bill of the money is raised.

If nothing else, please keep us in your prayers! Thank you â¤ï¸",anger
"Hi my name is Sierra, I am Chrisâs niece. Chris has been fighting like hell for the past 3 years and God decided it was his time to go. My uncle Chris passed away in his home peacefully surrounded by his family last night. He was taken from us way too soon, so young, so much life left to live. He was truly an amazing man, father, friend, uncle. My family could use a lot of prayers right now to get us through this. Any donations would be appreciated from the bottom of my heart.

I love you Uncle Chrisâ¤ï¸",love
"Alice Hayes is a local girl fighting neuroblastoma, a rare and aggressive form of cancer that requires specialised treatment in Memorial Sloan Kettering hospital in the US. My Alice has been touched by her story and wishes to help in any way she can. She remembers the kindness everyone showed her when she was going through her own cancer treatment, and would like to help 9 year old Alice. She is organising a hair chop to benefit both The Rapunzel Foundation, which makes wigs for children suffering hair loss while going through cancer treatment and other illnesses, and any donations will go to the Help Alice Beat Cancer fund. Aliceâs hair is her pride and joy but she is determined to help and raise as much as she can!",joy
"â¤ï¸ Hello friends and familyâ¦
â¤ï¸ On November 15 2022, My dad let us the family know that he has early stage of prostate cancer. And now we talked to him and he has allowed us to share this with you all.
â¤ï¸ He will have radiation done as soon as they start to set him up for this.
â¤ï¸ He will have to go for 8 weeks everyday to Lubbock.
â¤ï¸ I will set up a fund for him if you would like to help.
â¤ï¸ Thank you for loving my daddy, he would really appreciate your help during this process.
â¤ï¸ Thank you!",gratitude
"My name is Rosalie York, and I'm raising funds for my Sister, Gelsey, her partner Matt, and her sweet family. My sister was a hit-and-run victim in December of 2021. She sustained injuries that have changed her and her family's lives. She has been unable to work since and will not be able to work again for the foreseeable future. Gelsey has started the long process of applying for disability, but there's no way of knowing how long it will take. Her partner, Matt, has also been experiencing health issues that make working extremely difficult and painful. They've had to rely on their savings to cover medical needs, mortgage payments and bills up to this point. Without assistance, they'll soon be at risk of losing their home. If you know this family, then you know what incredible, loving people they are. If you can, please help.",sadness
"Hello all,


Late last year, our Anne discovered she had breast cancer during one of her routine screening checkups.

She has a great medical team behind her, and plans to take this head on and have them perform a double mastectomy with reconstruction, which will hopefully prevent future recurrences.

As we all know, medical costs are a lot to deal with, even with insurance. Iâm starting this fund with the hopes that Anne will not have to bear the burden alone. Donate what you can, or send Anne a message to let her know you are there for her. Sheâs an amazing person and I know she has been there for us all at some point. We love you Anne!",love
"Hi, My name is Richard. I live and work in Nevada USA. This is probably one of the hardest things for me as I'm not one to ask for help, but as the main breadwinner for a household of seven, I must swallow my pride and ask for any help possible. In June of this year, I suffered a Heart attack, all went very well, and I recovered well. I firmly believe that the heart attack was for a reason because with all the follow-up tests and scans, we found out that I have prostate cancer, and I don't think we would have found out so early, now with the bills, time lost from work from the heart attack, now I have to contend with treatment, travel, lost time and basic costs with my battle with a cancer diagnosis. I know I will beat this, and at the end of the day, bills will be paid. My biggest fear eventually with all of this is the impact it will have on my family. currently, our household consists of myself, my wife of 32 wonderful years, my mother, my daughter, my son-in-law, and 2 grandchildren. If you can help, I would be so thankful; if you can't, I am still grateful that you took the time to read about my journey. Humbly yours R.L.Hawley",fear
"Hello, my name is Ruth and I am raising funds for my brother, Jorge Banegas, who needs surgery for a diagnosis of diabetic retinoplasty, which until now we have been able to cope with, Thank God.

We are united in Faith believing that the Lord will heal him and he will come out of this process strengthened.

As a family we ask for his prayers and thank you in advance for the help you provide us, at this time we are requesting his valuable support to cover medical expenses.

Thank you,
ruth and family

-------

Hello, my name is Ruth, and I am raising funds for my brother, Jorge Banegas, who needs surgery for a diagnosis of diabetic retinopathy, which until now, we have been able to cope with, Thank God.

We are united in Faith, believing that the Lord will heal him and he will come out of this process strengthened.

As a family, we ask for your prayers, and we thank you in advance for the help you give us. At this time, we are requesting your valuable support to cover medical expenses.

Thank you,
Ruth and family",gratitude
"Hi, my name is Emily Gere and my 2 year old kitty pixel is sick. She is my best friend and my anxiety buddy she has been with me through hell and back and Iâd do anything for her. She is sick right now and Iâm currently unemployed because of personal mental health reasons and pixel needs some really expensive tests done that I canât afford and needs a surgery done as-well. I love her soo much and I donât want to see her in pain and suffering anymore because I canât afford to get her the help she needs on top of all my bills and rent I just canât afford it. I would really appreciate any help anyone would be willing to give/donate and so would pixel. â¤ï¸",love
"As many of you may or may not know, Mel was diagnosed with stage 2A breast cancer on April 25, 2022. Since then, she has completed 9 rounds of chemo and has 7 more to go! Once chemo is finished and she receives the all-clear, she will need surgery with radiation to follow.

When Mel first shared her diagnosis with me, I was completely shocked, angry, and in disbelief. How could something so awful happen to someone so amazing?! Knowing the treatments, possibly losing her hair, being sick, and medical bills would be a lot for anyone, let alone My Mel. After talking with her, I wanted to help in any way possible. I decided to try and help Mel with her current medical bills and all future medical to come.

Please help support My Mel through her journey!",fear
"Last year my mom was diagnosed with stage 3 colon cancer and it was extremely difficult for our family. When I heard the C word I thought I was losing my mom, but her team of doctors reassured us that it would be okay. It was still hard to watch my mom go through chemo and radiation and see her in pain day in and day out. She completed chemotherapy, but did not get better. Her symptoms got worse and she became bedridden and depressed. Last week we took her to the ER only to find out that there are new complications with her colon and the area in which she had radiation. The doctors are not hopeful and said this isn't looking too good for her. I'm so afraid of losing my mom, my rock, and my bestfriend. The house is quiet and my dad and I are trying to manage, but it's becoming more and more difficult each day. Please keep my mom in your prayers and even 1 donation would be greatly appreciated and will go towards her medical bills and surgery. Thank you if you've read this far. May we give my mom the strength to keep fighting. -Her daughter, Raven",fear
